Designator,Footprint,Quantity,Value,LCSC Part #
0.1uF,0603,1,0.1uF,
10uF,0805,1,10uF,
J1,PinHeader_1x02_P2.00mm_Vertical,1,PINHD_1x2_Male,
"J2, J4",PinHeader_1x02_P2.00mm_Vertical,2,PINHD_1x2_Female,
LED,0603,1,LED,
MCP23017,SSOP-28_5.3x10.2mm_P0.65mm,1,MCP23017_SS,
R1,0603,1,330R,
"RGB_SW1, RGB_SW10, RGB_SW11, RGB_SW12, RGB_SW13, RGB_SW14, RGB_SW15, RGB_SW2, RGB_SW3, RGB_SW4, RGB_SW5, RGB_SW6, RGB_SW7, RGB_SW8, RGB_SW9",TL1_RBG_Adressable_1_mini,15,PLB_RGB_SW,
"RN1, RN2, RN3",R_Array_Convex_4x0603,3,R_Pack04,
